timestamp,rms_volume,zcr_pitch,motion_score,brightness,prob_happy,prob_surprise,prob_sad,prob_neutral,is_highlight,engagement_score,final_score
0.0,0.0,0.0,0.0,0.6152328344522161,3.06347584911717e-06,3.0311607351725724e-08,0.01803731230820313,0.9397797419339226,0,0.08687465961160842,0.00011711654507796762
0.0416666666666666,0.0,0.0,4.14352578229018e-05,0.615222220265056,3.06347584911717e-06,3.0311607351725724e-08,0.01803731230820313,0.9397797419339226,0,0.08688135453509899,0.00011711736970244368
0.0833333333333333,0.0,0.0,9.036412610313727e-06,0.6152260110461846,3.06347584911717e-06,3.0311607351725724e-08,0.01803731230820313,0.9397797419339226,0,0.08687544338322575,0.00011711443280655586
0.125,0.0,0.0,0.0,0.6152260110461846,3.06347584911717e-06,3.0311607351725724e-08,0.01803731230820313,0.9397797419339226,0,0.08687363610070369,0.00011711307618406233
0.1666666666666666,0.0,0.0,0.0,0.6152260110461846,3.06347584911717e-06,3.0311607351725724e-08,0.01803731230820313,0.9397797419339226,0,0.08687363610070369,0.00011711307618406233
0.2083333333333333,0.0,0.0,0.0,0.6152260110461846,3.073360503482769e-06,3.022155126618396e-08,0.01795975708329298,0.9399606819882046,0,0.08689690560655622,0.00011710457605217361
0.25,0.0,0.0,1.6833073490553916e-05,0.6152250254430912,3.073360503482769e-06,3.022155126618396e-08,0.01795975708329298,0.9399606819882046,0,0.08690012438079034,0.00011710660197599084
0.2916666666666667,0.0,0.0,5.785508073676517e-07,0.6152251518024622,3.073360503482769e-06,3.022155126618396e-08,0.01795975708329298,0.9399606819882046,0,0.08689689243015933,0.00011710422611731021
0.3333333333333333,0.0,0.0,0.0,0.6152251518024622,3.073360503482769e-06,3.022155126618396e-08,0.01795975708329298,0.9399606819882046,0,0.08689677671999785,0.00011710413926748026
0.375,0.0,0.0,0.0,0.6152251518024622,3.073360503482769e-06,3.022155126618396e-08,0.01795975708329298,0.9399606819882046,0,0.08689677671999785,0.00011710413926748026
0.4166666666666667,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
0.4583333333333333,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
0.5,0.0,0.0,4.132505766911798e-07,0.6152251265305879,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691327933595414,0.00011710336841529769
0.5416666666666666,0.0,0.0,4.4080061513725844e-07,0.6152253287055816,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691331517221086,0.00011710347532302495
0.5833333333333334,0.0,0.0,0.0,0.6152253287055816,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691322701208784,0.00011710340915214427
0.625,0.0,0.0,0.0,0.6152253287055816,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691322701208784,0.00011710340915214427
0.6666666666666666,0.0,0.0,0.0,0.6152253287055816,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691322701208784,0.00011710340915214427
0.7083333333333334,0.0,0.0,0.0,0.6152253287055816,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691322701208784,0.00011710340915214427
0.75,0.0,0.0,2.755003844607865e-07,0.6152252276180846,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.0869132669490402,0.00011710339912291505
0.7916666666666666,0.0,0.0,3.5815049979902246e-07,0.6152250507149654,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691325694359538,0.00011710332160445183
0.8333333333333334,0.0,0.0,2.755003844607865e-07,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691325557669682,0.00011710336058341101
0.875,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
0.9166666666666666,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
0.9583333333333334,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
1.0,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
1.0416666666666667,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
1.0833333333333333,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
1.125,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
1.1666666666666667,0.0,0.0,0.0,0.6152251518024622,3.086871777794778e-06,3.04069606174217e-08,0.017905024924569718,0.9400463820139145,0,0.08691320047661993,0.00011710331922664678
